I1002 23:26:49.292029  101540 start.go:44] Version: 0.0.1
I1002 23:52:56.190896  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:52:56.196641  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:53:24.322638  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:53:26.196964  101540 writer.go:57] Run(): period refresh
I1002 23:53:26.197032  101540 writer.go:67] pollNicStatus()
I1002 23:53:26.197062  101540 utils.go:35] DiscoverSriovDevices
I1002 23:53:26.222955  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:53:26.228744  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:53:54.322896  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:53:56.228935  101540 writer.go:57] Run(): period refresh
I1002 23:53:56.228963  101540 writer.go:67] pollNicStatus()
I1002 23:53:56.228967  101540 utils.go:35] DiscoverSriovDevices
I1002 23:53:56.258861  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:53:56.264596  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:54:24.323515  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:54:26.264812  101540 writer.go:57] Run(): period refresh
I1002 23:54:26.264834  101540 writer.go:67] pollNicStatus()
I1002 23:54:26.264838  101540 utils.go:35] DiscoverSriovDevices
I1002 23:54:26.299843  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:54:26.305332  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:54:54.324302  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:54:56.305621  101540 writer.go:57] Run(): period refresh
I1002 23:54:56.305639  101540 writer.go:67] pollNicStatus()
I1002 23:54:56.305643  101540 utils.go:35] DiscoverSriovDevices
I1002 23:54:56.334527  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:54:56.340697  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:55:24.324535  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:55:26.340968  101540 writer.go:57] Run(): period refresh
I1002 23:55:26.341015  101540 writer.go:67] pollNicStatus()
I1002 23:55:26.341028  101540 utils.go:35] DiscoverSriovDevices
I1002 23:55:26.365462  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:55:26.371269  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:55:54.324684  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:55:56.371508  101540 writer.go:57] Run(): period refresh
I1002 23:55:56.371552  101540 writer.go:67] pollNicStatus()
I1002 23:55:56.371565  101540 utils.go:35] DiscoverSriovDevices
I1002 23:55:56.395869  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:55:56.401375  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:56:24.324776  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:56:26.401648  101540 writer.go:57] Run(): period refresh
I1002 23:56:26.401674  101540 writer.go:67] pollNicStatus()
I1002 23:56:26.401678  101540 utils.go:35] DiscoverSriovDevices
I1002 23:56:26.434526  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:56:26.439977  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:56:54.325117  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:56:56.440133  101540 writer.go:57] Run(): period refresh
I1002 23:56:56.440148  101540 writer.go:67] pollNicStatus()
I1002 23:56:56.440151  101540 utils.go:35] DiscoverSriovDevices
I1002 23:56:56.465272  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:56:56.471385  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:57:24.325221  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:57:26.471766  101540 writer.go:57] Run(): period refresh
I1002 23:57:26.471809  101540 writer.go:67] pollNicStatus()
I1002 23:57:26.471822  101540 utils.go:35] DiscoverSriovDevices
I1002 23:57:26.501854  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:57:26.507494  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:57:54.325510  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:57:56.507696  101540 writer.go:57] Run(): period refresh
I1002 23:57:56.507712  101540 writer.go:67] pollNicStatus()
I1002 23:57:56.507716  101540 utils.go:35] DiscoverSriovDevices
I1002 23:57:56.539584  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:57:56.545117  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:58:24.326041  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:58:26.545239  101540 writer.go:57] Run(): period refresh
I1002 23:58:26.545255  101540 writer.go:67] pollNicStatus()
I1002 23:58:26.545259  101540 utils.go:35] DiscoverSriovDevices
I1002 23:58:26.569804  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:58:26.576234  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:58:54.326047  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:58:56.576393  101540 writer.go:57] Run(): period refresh
I1002 23:58:56.576414  101540 writer.go:67] pollNicStatus()
I1002 23:58:56.576418  101540 utils.go:35] DiscoverSriovDevices
I1002 23:58:56.607367  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:58:56.613291  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:59:24.326212  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:59:26.613655  101540 writer.go:57] Run(): period refresh
I1002 23:59:26.613702  101540 writer.go:67] pollNicStatus()
I1002 23:59:26.613714  101540 utils.go:35] DiscoverSriovDevices
I1002 23:59:26.639959  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:59:26.645423  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:59:54.326392  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:59:56.645549  101540 writer.go:57] Run(): period refresh
I1002 23:59:56.645566  101540 writer.go:67] pollNicStatus()
I1002 23:59:56.645570  101540 utils.go:35] DiscoverSriovDevices
I1002 23:59:56.676135  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:59:56.680944  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1003 00:00:24.326687  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1003 00:00:26.681094  101540 writer.go:57] Run(): period refresh
I1003 00:00:26.681118  101540 writer.go:67] pollNicStatus()
I1003 00:00:26.681122  101540 utils.go:35] DiscoverSriovDevices
I1003 00:00:26.711932  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1003 00:00:26.718173  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1003 00:00:54.326784  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1003 00:00:56.718355  101540 writer.go:57] Run(): period refresh
I1003 00:00:56.718377  101540 writer.go:67] pollNicStatus()
I1003 00:00:56.718381  101540 utils.go:35] DiscoverSriovDevices
I1003 00:00:56.745477  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1003 00:00:56.750714  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1003 00:01:24.326911  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1003 00:01:26.750950  101540 writer.go:57] Run(): period refresh
I1003 00:01:26.750996  101540 writer.go:67] pollNicStatus()
I1003 00:01:26.751000  101540 utils.go:35] DiscoverSriovDevices
I1003 00:01:26.778683  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1003 00:01:26.784929  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1003 00:01:54.327135  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1003 00:01:56.785132  101540 writer.go:57] Run(): period refresh
I1003 00:01:56.785159  101540 writer.go:67] pollNicStatus()
I1003 00:01:56.785163  101540 utils.go:35] DiscoverSriovDevices
I1003 00:01:56.819654  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1003 00:01:56.825438  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1003 00:02:24.327581  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1003 00:02:26.825642  101540 writer.go:57] Run(): period refresh
I1003 00:02:26.825663  101540 writer.go:67] pollNicStatus()
I1003 00:02:26.825667  101540 utils.go:35] DiscoverSriovDevices
I1003 00:02:26.853931  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1003 00:02:26.859338  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1003 00:02:54.328093  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1003 00:02:56.859473  101540 writer.go:57] Run(): period refresh
I1003 00:02:56.859489  101540 writer.go:67] pollNicStatus()
I1003 00:02:56.859492  101540 utils.go:35] DiscoverSriovDevices
I1003 00:02:56.889345  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1003 00:02:56.894653  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1003 00:03:24.328193  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1003 00:03:26.894946  101540 writer.go:57] Run(): period refresh
I1003 00:03:26.894987  101540 writer.go:67] pollNicStatus()
I1003 00:03:26.894991  101540 utils.go:35] DiscoverSriovDevices
I1003 00:03:26.928644  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1003 00:03:26.934491  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1003 00:03:54.328528  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1003 00:03:56.934768  101540 writer.go:57] Run(): period refresh
I1003 00:03:56.934788  101540 writer.go:67] pollNicStatus()
I1003 00:03:56.934792  101540 utils.go:35] DiscoverSriovDevices
I1003 00:03:56.961860  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1003 00:03:56.967436  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1003 00:04:24.328783  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1003 00:04:26.967627  101540 writer.go:57] Run(): period refresh
I1003 00:04:26.967645  101540 writer.go:67] pollNicStatus()
I1003 00:04:26.967649  101540 utils.go:35] DiscoverSriovDevices
I1003 00:04:26.991903  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1003 00:04:26.997401  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1003 00:04:54.329043  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1003 00:04:56.997579  101540 writer.go:57] Run(): period refresh
I1003 00:04:56.997641  101540 writer.go:67] pollNicStatus()
I1003 00:04:56.997645  101540 utils.go:35] DiscoverSriovDevices
I1003 00:04:57.026245  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1003 00:04:57.031710  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1003 00:05:24.329185  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1003 00:05:27.031911  101540 writer.go:57] Run(): period refresh
I1003 00:05:27.031928  101540 writer.go:67] pollNicStatus()
I1003 00:05:27.031931  101540 utils.go:35] DiscoverSriovDevices
I1003 00:05:27.055776  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1003 00:05:27.061524  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1003 00:05:54.329531  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1003 00:05:57.061784  101540 writer.go:57] Run(): period refresh
I1003 00:05:57.061818  101540 writer.go:67] pollNicStatus()
I1003 00:05:57.061822  101540 utils.go:35] DiscoverSriovDevices
I1003 00:05:57.098503  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1003 00:05:57.104820  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
